,company_id,application_id,abstract_or_companyDescription,services,Sci-BERT_score
26,8,None,"Computational medicines for difficult diseases Our products are drugs, which would save lives (literally!).",Cell and Tissue Culture,1.1613003181117905
29,9,None,"1molar inc. is a biomedical technology company focused on neural protection and regeneration. It strives to impact lives through the discovery, development, commercialization, and manufacturing of novel therapeutics and diagnostic tools on this area. The company leverages its expertise in neuroscience, synthetic biology and tissue engineering to produce product candidates designed to increase neural plasticity and stimulate regeneration. 1molar inc. is a privately held company incorporated in Delaware since 2012.",Cell and Tissue Culture,-1.6125409880251862
25,8,None,"Computational medicines for difficult diseases Our products are drugs, which would save lives (literally!).",Assay Development,-1.6358659186530224
14,None,9612190,"PROJECT SUMMARY N6-methyl-adenosine (m6A) is the most abundant internal modification in eukaryotic messenger RNA (mRNA) and has been implicated in many cellular processes, including splicing, mRNA stability, translational activity, and cytoplasmic localization. Moreover, deficits in m6A methylation are linked to human diseases, such as obesity, developmental deficits, cancer, and neurodegenerative disorders. Studies in our laboratory and others indicate that m6A can influence cellular processes by directly recruiting ?reader? proteins or by regulating the accessibility of RNA-binding proteins through alteration of local RNA structure (called the m6A-switch). However, despite the rapidly growing interest in and importance of m6A, the methods available for mapping m6A have considerable drawbacks, including the requirement of large amounts of sample input and the inability to determine the modification stoichiometry, a known variable of the m6A epitranscriptome. The proposed research aims to overcome these limitations by developing a novel deaminase-based m6A-seq method (Deam-seq) that will allow for determination of the m6A modification fraction at single-base resolution. Moreover, since this approach requires no enrichment step and is enzyme-based, it should be readily applicable for characterization of biologically limited samples, such as clinical specimens. If successful, we anticipate that this new technology will be extremely powerful in monitoring epitranscriptional dynamics and characterizing unique cell types within a population. Moreover, I will also test the hypothesis that the methylation fraction plays an important role in regulating mRNA splicing. Finally, given the emerging evidence that intronic m6A residues may be far more common than suggested based on conventional m6A-seq approaches, I will also develop new methodology for global determination of the m6A landscape within introns and nuclear circular RNAs. Overall, this research should yield many new insights into how m6A modulates mRNA fate.",Cell and Tissue Culture,-3.7040321666990437
23,6,None,"123Compliance has more than 20 years of experience in the life science industry, with a focus on compliance. The company has built and implemented Global complaint handling, quality management, regulatory reporting, and document management systems for small and large pharmaceutical and medical device companies. As a Salesforce partner, 123Compliance deploys new technologies intelligently to help pharmaceutical and medical device companies simplify operations, reduce waste and unnecessary cost, and maintain compliance in todayâÃÃ¶âÃâÂ¥s challenging regulatory environment.",Cell and Tissue Culture,-4.631814225129784
17,1,None,We've got you and your business goals and objectives in mind. You and all your Genetic testing needs are in expert hands. Leave it to us.,Cell and Tissue Culture,-5.096746171130634
24,8,None,"Computational medicines for difficult diseases Our products are drugs, which would save lives (literally!).",3D Cell-Based Assays,-5.36116602421216
5,None,9483739,"Atherosclerosis is now recognized as a chronic inflammatory disease, and Project Leaders of our PPG have contributed seminal information to the widespread recognition that immune mechanisms play a central role in modulating atherogenesis. Leveraging information gained in the first cycle, we propose studies of the roles of macrophages, T cells, B cells, Natural antibodies (NAbs) and innate TLRs on inflammation and atherogenesis. Project 1 will pursue their seminal observations that foam cell formation in the peritoneum of cholesterol-fed mice exhibited an unexpected suppressed inflammatory gene phenotype, which was due to accumulation of desmosterol, a potent LXR ligand, leading to inhibition of inflammatory gene expression. They will study the transcriptional mechanisms by which this occurs, and determine if novel therapeutic approaches can be exploited based on use of desmosterol-like agents that inhibit inflammatory activity. Project 2 will pursue their findings that PPARy is expressed in Treg  cells in peri-aortic adipose tissue, which surrounds the aorta at key anatomical sites where atherogenesis is enhanced. They will explore the hypothesis that this is mediated by a proinflammatory gene network that can be modulated at the transcriptional level by PPARy and REVERBa/p, regulating vital functions of Treg and Th17 cells. Project 3 will pursue their recent identification that oxidation specific epitopes (OSE), as occur on OxLDL or apoptotic cells, are major targets of innate NAbs. They will focus on defining the prevalence of OSE-NAbs in humans and mice, the mechanisms by which they are atheroprotective, and define transcriptional mechanisms by which GR and LXR regulate B-1 cells, which generate NAbs. Overall, these studies should provide vital insights into novel and as yet unexplored mechanisms by which adaptive and innate immunity regulates inflammation and atherosclerosis, and may lead to novel diagnostic and therapeutic approaches for cardiovascular disease.",Cell and Tissue Culture,-6.322185960149312
16,1,None,We've got you and your business goals and objectives in mind. You and all your Genetic testing needs are in expert hands. Leave it to us.,Assay Development,-6.690561037354408
8,None,9478269,"?    DESCRIPTION: The main aims of this multiple-PI proposal are: to continue to define the underlying mechanisms of improved hepatocyte transduction by our next generation of recombinant adeno-associated virus (AAV) vectors; to extend these studies to novel AAV2 variants with high liver tropism, enriched from a library, and to AAV3-based vectors, which show high efficacy in human hepatocytes and non-human primate liver; and to evaluate the efficacy and host immune response in gene therapy for hemophilia B. Candidate vectors for clinical trial with high efficacy in small and large animal models will be identified, with particular emphasis on in vivo gene transfer to human/primate hepatocytes and immunobiology. The current application encompassing an interdisciplinary approach should allow us to develop superior next generation vectors for liver-directed human gene therapy, drawing heavily from expertise at the University of Florida in AAV vector biology, immunology of AAV gene transfer, and animal model studies. We will test the following hypotheses: a. Minor changes in the capsid sequence can substantially improve liver gene transfer, in part through postentry mechanisms, allowing us to design superior AAV2- and AAV3-based vectors. b. A combination of molecular evolution and capsid engineering will result in vectors with high transduction efficiency of human/primate hepatocytes and reduced MHC I antigen presentation. c. Capsid-modified AAV vectors will provide therapeutic F.IX expression at low vector doses and with reduced immunogenicity.  The following three Specific Aims will be pursued: Specific Aim 1: Further optimize and compare in vivo performance of novel AAV2- and AAV3-based vectors, and define the mechanisms responsible for the robust liver gene transfer. Specific Aim 2: Identify novel capsid variants for high-efficiency in vivo gene transfer to human hepatocytes and adopt these into an advanced baculovirus production system. Specific Aim 3: Test improved vectors in animal models of hemophilia and in non-human primates, and define their immunogenicity. These investigations have a high chance of yielding superior vectors for liver gene transfer in humans.",Cell and Tissue Culture,-9.079416069810271
