,abstract,services,Sci-BERT
0,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",3D Cell-Based Assays,13.817547240343432
1,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Assay Development,4.865615093971367
2,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Cell and Tissue Culture,14.977796130054008
3,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Cell Line Generation,5.652610344232819
4,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Cell Lines,5.660232444557776
5,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Cell-Based Assays,10.953812932860298
6,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Cells and Tissues,11.639613923893613
7,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Custom Cell-Based Assay Development,11.642469826331535
8,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Embryoid Body Formation,3.243012005205865
9,"?    DESCRIPTION (provided by applicant)    Unravelling the genetic basis of human health and disease requires high-quality genome information. Heretofore, the community has relied on a single, haploid human reference sequence that does not represent the actual genome sequence of any single person. While this resource has been enormously beneficial for mapping many of the genetic variants responsible for human normal and disease variation, it can limit many types of analyses. Further, this single-reference model can cause uneven power to analyze genetic variation across all human populations.  Similarly, non-human primate genomes are also fundamentally important for understanding our own genome. While many draft primate genome assemblies are available, including for all great apes, these genomes are all of lower quality and contiguity than the human reference genome. Importantly, chromosome-scale scaffolding of these genomes was often done by comparison to the human reference. While this approximation is generally correct, knowing where this is wrong is critically important.  Using a radically innovative and simple approach, we can now generate highly contiguous de novo assemblies of human and non-human primate genomes. The approach requires sub- microgram quantities of DNA and can be carried done from start to finish within a few months, including sequencing time. Our approach uses genome contiguity information as derived from proximity ligation of in vitro assembled chromatin. It harnesses the speed and cost-effectiveness of high-throughput sequencing to generate large amounts of haplotype-phased contiguity data spanning well over 100 kilobases in length. Using this approach we will generate de novo assembled genomes from 50 humans and 12 non-human primates of high accuracy, partially haplotype phased, with scaffold N50s expected to be between 10 and 20 Mb in length.",Embryonic Stem Cell (ESC) Culture,24.16887298455503
